2065	T. L. Bayne
2066	Willard Livingstone Beard
2067	Henry Curtis Beardslee
2068	William Thomas Beck
2069	Harry Becker (artist)
2070	Mary Russell, Duchess of Bedford
2071	Louis Beguin-Billecocq
2072	Isolde Beidler
2073	Otto Beit
2074	Gregor Belkovsky
2075	Florence Harrison Bell
2076	George Belt
2077	Frederick Bendall
2078	Arthur Lincoln Benedict
2079	John Bradbury Bennet
2080	Francis Bennett-Goldney
2081	Ernest Bennett (politician)
2082	John Bennett (author)
2083	John Prentiss Benson
2084	Margaret Benson
2085	Wilson Bentley
2086	Guy Potter Benton
2087	John Benton (footballer)
2088	Micha Josef Berdyczewski
2089	Bernard Berenson
2090	Hart O. Berg
2091	Anna Farquhar Bergengren
2092	Ludvig Bergh
2093	Piet van den Bergh
2094	Heinrich Bergner
2095	Friedrich Robert von Beringe
2096	Comyns Berkeley
2097	Jacob Berner (politician)
2098	Hermine Bernhoft-Osa
2099	Ignacio Berriochoa
2100	George Ricker Berry
2101	Mary Fleetwood Berry
2102	Mariana Bertola
2103	Helen Bertram
2104	Samuel Reading Bertron
2105	Natanael Beskow
2106	William George Besler
2107	H. W. Bessemer
2108	Edith Best (musician)
2109	John C. Best
2110	William Best (cricketer)
2111	William Betts (umpire)
2112	Robert Bevan
2113	İsmail Hakki Bey
2114	Bhagvatsinhji
2115	Budhindranath Delihial Bhattacharya
2116	Edoardo Bianchi
2117	Little Franciscans of Mary
2118	Charles L. Biedenbach
2119	Piotr Ignacy Bieńkowski
2120	Lou Bierbauer
2121	Otto Julius Bierbaum
2122	Marie de Bièvre
2123	Walter J. Bigelow
2124	Olavo Bilac
2125	Heinrich Biltz
2126	Jesse Binga
2127	Noel Birch
2128	William Birdwood
2129	Thomas Birley
2130	George A. Birmingham
2131	August Bischler
2132	Jacob Bitzer
2133	Black Eagle (lacrosse)
2134	George Ruddell Black
2135	Victoria Grace Blackburn
2136	George Blacker (obstetrician)
2137	Bob Blacklock
2138	Alexander Blair (rugby union)
2139	William Blaisdell
2140	Finn Blakstad
2141	Neltje Blanchan
2142	Walter F.H. Blandford
2143	Jenny Blicher-Clausen
2144	Edward Bliss
2145	Ike Bloom
2146	Karl Blossfeldt
2147	Victor Blue
2148	Michael Blümelhuber
2149	Nadezhda Aleksandrovna Bobrinskaya
2150	Richard Bock
2151	Willis Henry Bocock
2152	Paul Olaf Bodding
2153	Max Bodenheimer
2154	August de Boeck
2155	Vladimir Bogoraz
2156	Piers Bohl
2157	Maria Bohuszewiczówna
2158	Herman E. Boldt
2159	Jean Boldt
2160	Henry Luke Bolley
2161	Thaddeus L. Bolton
2162	Oliver James Bond
2163	Lars Bondeson
2164	Alexander Bondurant
2165	Mary Bonham-Christie
2166	Francesco Maria Bonini
2167	Ferdinand Bonnel
2168	Stephen Bonsal
2169	Charles Booker (Australian politician)
2170	Boon Tuan Boon-Itt
2171	D. C. Boonzaier
2172	Henry Ernest Boote
2173	Evangeline Booth
2174	Maud Ballington Booth
2175	Paul Booth (rugby)
2176	William Borah
2177	George V. Borchsenius
2178	Gustav Borgen
2179	Louis Borno
2180	Margrete Heiberg Bose
2181	Priyanath Bose
2182	Kate Langley Bosher
2183	Karel Albert Rudolf Bosscha
2184	Eugene Botkin
2185	Thomas Bouchard (politician)
2186	Rodolphe Boudreau
2187	Boulifa
2188	Wilhelm Bousset
2189	Marie Marguerite Bouvet
2190	Eugenie Bouvier
2191	Jeanne Bouvier
2192	Walter Boveri
2193	Monty Bowden
2194	Cornelia Bowen
2195	Eaton J. Bowers
2196	Frank Bowes
2197	Sydney J. Bowie
2198	George Bowlby
2199	Edward Augustus Bowles
2200	Walter S. Bowman
2201	John Adams Bownocker
2202	John Boyd (photographer)
2203	Samuel Becket Boyd II
2204	Nina Boyle
2205	Winifred Boys-Smith
2206	Olga Boznańska
2207	William Brace
2208	Georgina Brackenbury
2209	Frank Parkhurst Brackett
2210	Walter Braithwaite
2211	St John Branch
2212	Bob Brand
2213	Otto von Brandenstein
2214	Edgar Ewing Brandon
2215	James Brandon (footballer)
2216	George Brann
2217	Melvin A. Brannon
2218	Lewis C. Branscomb
2219	Xavier Brasseur
2220	Lily Braun
2221	Juan Bravo (navy officer)
2222	Françoise Fillioux
2223	Vital Brazil
2224	James Breakey
2225	James Henry Breasted
2226	Thomas Breckenridge
2227	Adolf Bredenberg
2228	Co Breman
2229	Henri Brémond
2230	William Brennan (Australian politician)
2231	Wilhelm Brenneke
2232	Nina Benner-Anderson
2233	William Joynson-Hicks, 1st Viscount Brentford
2234	Henry E. H. Brereton
2235	Herbert Brewer
2236	Cora Belle Brewster
2237	Frank Briant
2238	George Bridgman
2239	Charles James Briggs
2240	Grant Briggs
2241	Charles Britton
2242	Sir John Broadbent, 2nd Baronet
2243	Edward Lewis Brockman
2244	Franklin Brockson
2245	Bill Brockwell
2246	John Broderick (politician)
2247	James Brogan (footballer, born 1865)
2248	Charles B. Brooks
2249	Henry Brooks (baseball)
2250	Richard E. Brooks
2251	Jack Broomfield
2252	Ernest Broughton
2253	Len G. Broughton
2254	Benjamin Brown (artist)
2255	Edward Brown (Manitoba politician)
2256	Henry Brown (Australian politician)
2257	Samuel McConnell Brown
2258	William Brown (footballer, born 1865)
2259	Clement Browne (cricketer)
2260	Tom Browne (Whistler)
2261	James Thomas Brownlie
2262	User:Brownskingirl-21/sandbox
2263	Gisela Brož
2264	Elsa Bruckmann
2265	Clément Brun
2266	Sir John Brunner, 2nd Baronet
2267	Henry Francis Bryan
2268	Robert Bryden
2269	George Buchanan (engineer, born 1865)
2270	William Buchanan
2271	Lawrence Buck
2272	Rich T. Buckler
2273	Jay Budd
2274	Henry Budgen
2275	Fredrik Moltke Bugge
2276	Theodor Buhl
2277	Lindsay Buick
2278	Daniel Delany Bulger
2279	William T. Bull
2280	Shan Bullock
2281	William Stephen Bullock
2282	Peter Bullough
2283	Hendrik Bulthuis
2284	George Bunn (lawyer)
2285	Donatus Buongiorno
2286	Alfred Burbury
2287	Anson Wood Burchard
2288	Maude Burge
2289	Heinrich Otto Wilhelm Bürger
2290	Ruth Payne Burgess
2291	Michael Burke (Australian politician)
2292	William Burke (baseball)
